state,overall_total_donations,Blood Donation Type,Total Donations,Percentage
Johor,601603,Whole Blood,598580,99.49750915470834
Kedah,792704,Whole Blood,792000,99.91119005328596
Kelantan,219087,Whole Blood,218507,99.73526498605577
Melaka,509208,Whole Blood,506270,99.42302556126377
Negeri Sembilan,281166,Whole Blood,280959,99.92637801156611
Pahang,224172,Whole Blood,222974,99.46558892279143
Perak,641669,Whole Blood,631390,98.39808374722793
Pulau Pinang,423287,Whole Blood,418058,98.76466794397182
Sabah,486798,Whole Blood,483345,99.29067087375051
Sarawak,495454,Whole Blood,490221,98.94379700234532
Selangor,453648,Whole Blood,451113,99.44119669876204
Terengganu,303939,Whole Blood,302639,99.57228259617884
W.P. Kuala Lumpur,3259205,Whole Blood,3120694,95.75015993163977
Johor,601603,Apheresis Platelet,340,0.05651567561996865
Kedah,792704,Apheresis Platelet,288,0.03633134183755853
Kelantan,219087,Apheresis Platelet,419,0.19124822559074706
Melaka,509208,Apheresis Platelet,766,0.15042968688630187
Negeri Sembilan,281166,Apheresis Platelet,0,0.0
Pahang,224172,Apheresis Platelet,436,0.19449351390896277
Perak,641669,Apheresis Platelet,5028,0.7835815661969021
Pulau Pinang,423287,Apheresis Platelet,2640,0.6236903094118176
Sabah,486798,Apheresis Platelet,791,0.16249039642726554
Sarawak,495454,Apheresis Platelet,365,0.07366980587501565
Selangor,453648,Apheresis Platelet,200,0.04408704546256128
Terengganu,303939,Apheresis Platelet,512,0.16845485442802668
W.P. Kuala Lumpur,3259205,Apheresis Platelet,73246,2.247357867946324
Johor,601603,Apheresis Plasma,1222,0.20312398708118143
Kedah,792704,Apheresis Plasma,27,0.0034060632972711126
Kelantan,219087,Apheresis Plasma,0,0.0
Melaka,509208,Apheresis Plasma,1570,0.3083219430959451
Negeri Sembilan,281166,Apheresis Plasma,81,0.028808604169778707
Pahang,224172,Apheresis Plasma,107,0.04773120639508949
Perak,641669,Apheresis Plasma,4628,0.721244130540824
Pulau Pinang,423287,Apheresis Plasma,2199,0.5195056781805253
Sabah,486798,Apheresis Plasma,1640,0.33689538576575906
Sarawak,495454,Apheresis Plasma,1303,0.26299111521957635
Selangor,453648,Apheresis Plasma,1256,0.2768666455048848
Terengganu,303939,Apheresis Plasma,765,0.2516952414793758
W.P. Kuala Lumpur,3259205,Apheresis Plasma,58715,1.801512945641652
Johor,601603,Other,1461,0.24285118259051233
Kedah,792704,Other,389,0.04907254157920232
Kelantan,219087,Other,161,0.07348678835348514
Melaka,509208,Other,602,0.11822280875398658
Negeri Sembilan,281166,Other,126,0.04481338426410021
Pahang,224172,Other,655,0.2921863569045198
Perak,641669,Other,623,0.09709055603434169
Pulau Pinang,423287,Other,390,0.09213606843583669
Sabah,486798,Other,1022,0.20994334405646692
Sarawak,495454,Other,3565,0.7195420765600843
Selangor,453648,Other,1079,0.2378496102705181
Terengganu,303939,Other,23,0.007567307913759011
W.P. Kuala Lumpur,3259205,Other,6550,0.20096925477225275
