year,age_group,state,donations
2006,17-24,Johor,1560
2006,17-24,Kedah,237
2006,17-24,Kelantan,2361
2006,17-24,Malaysia,67148
2006,17-24,Melaka,2813
2006,17-24,Negeri Sembilan,1217
2006,17-24,Pahang,1430
2006,17-24,Perak,18
2006,17-24,Pulau Pinang,0
2006,17-24,Sabah,512
2006,17-24,Sarawak,16
2006,17-24,Selangor,527
2006,17-24,Terengganu,9018
2006,17-24,W.P. Kuala Lumpur,47439
2006,25-29,Johor,688
2006,25-29,Kedah,69
2006,25-29,Kelantan,466
2006,25-29,Malaysia,22242
2006,25-29,Melaka,821
2006,25-29,Negeri Sembilan,502
2006,25-29,Pahang,346
2006,25-29,Perak,13
2006,25-29,Pulau Pinang,0
2006,25-29,Sabah,418
2006,25-29,Sarawak,14
2006,25-29,Selangor,266
2006,25-29,Terengganu,1165
2006,25-29,W.P. Kuala Lumpur,17474
2006,30-34,Johor,458
2006,30-34,Kedah,62
2006,30-34,Kelantan,340
2006,30-34,Malaysia,14880
2006,30-34,Melaka,585
2006,30-34,Negeri Sembilan,516
2006,30-34,Pahang,246
2006,30-34,Perak,2
2006,30-34,Pulau Pinang,0
2006,30-34,Sabah,385
2006,30-34,Sarawak,12
2006,30-34,Selangor,177
2006,30-34,Terengganu,804
2006,30-34,W.P. Kuala Lumpur,11293
2006,35-39,Johor,364
2006,35-39,Kedah,51
2006,35-39,Kelantan,302
2006,35-39,Malaysia,11927
2006,35-39,Melaka,604
2006,35-39,Negeri Sembilan,493
2006,35-39,Pahang,225
2006,35-39,Perak,1
2006,35-39,Pulau Pinang,0
2006,35-39,Sabah,370
2006,35-39,Sarawak,8
2006,35-39,Selangor,166
2006,35-39,Terengganu,739
2006,35-39,W.P. Kuala Lumpur,8604
2006,40-44,Johor,346
2006,40-44,Kedah,38
2006,40-44,Kelantan,271
2006,40-44,Malaysia,9240
2006,40-44,Melaka,397
2006,40-44,Negeri Sembilan,377
2006,40-44,Pahang,202
2006,40-44,Perak,2
2006,40-44,Pulau Pinang,0
2006,40-44,Sabah,279
2006,40-44,Sarawak,1
2006,40-44,Selangor,122
2006,40-44,Terengganu,705
2006,40-44,W.P. Kuala Lumpur,6500
2006,45-49,Johor,237
2006,45-49,Kedah,34
2006,45-49,Kelantan,231
2006,45-49,Malaysia,6367
2006,45-49,Melaka,281
2006,45-49,Negeri Sembilan,318
2006,45-49,Pahang,155
2006,45-49,Perak,2
2006,45-49,Pulau Pinang,0
2006,45-49,Sabah,210
2006,45-49,Sarawak,3
2006,45-49,Selangor,71
2006,45-49,Terengganu,489
2006,45-49,W.P. Kuala Lumpur,4336
2006,50-54,Johor,132
2006,50-54,Kedah,19
2006,50-54,Kelantan,126
2006,50-54,Malaysia,3278
2006,50-54,Melaka,163
2006,50-54,Negeri Sembilan,165
2006,50-54,Pahang,83
2006,50-54,Perak,1
2006,50-54,Pulau Pinang,0
2006,50-54,Sabah,119
2006,50-54,Sarawak,0
2006,50-54,Selangor,40
2006,50-54,Terengganu,259
2006,50-54,W.P. Kuala Lumpur,2171
2006,55-59,Johor,44
2006,55-59,Kedah,9
2006,55-59,Kelantan,40
2006,55-59,Malaysia,1126
2006,55-59,Melaka,60
2006,55-59,Negeri Sembilan,81
2006,55-59,Pahang,29
2006,55-59,Perak,0
2006,55-59,Pulau Pinang,0
2006,55-59,Sabah,40
2006,55-59,Sarawak,0
2006,55-59,Selangor,9
2006,55-59,Terengganu,98
2006,55-59,W.P. Kuala Lumpur,716
2006,60-64,Johor,7
2006,60-64,Kedah,0
2006,60-64,Kelantan,3
2006,60-64,Malaysia,73
2006,60-64,Melaka,2
2006,60-64,Negeri Sembilan,5
2006,60-64,Pahang,1
2006,60-64,Perak,0
2006,60-64,Pulau Pinang,0
2006,60-64,Sabah,1
2006,60-64,Sarawak,0
2006,60-64,Selangor,0
2006,60-64,Terengganu,4
2006,60-64,W.P. Kuala Lumpur,50
2007,17-24,Johor,873
2007,17-24,Kedah,8864
2007,17-24,Kelantan,3905
2007,17-24,Malaysia,72350
2007,17-24,Melaka,7999
2007,17-24,Negeri Sembilan,4304
2007,17-24,Pahang,1224
2007,17-24,Perak,14
2007,17-24,Pulau Pinang,0
2007,17-24,Sabah,3659
2007,17-24,Sarawak,21
2007,17-24,Selangor,4217
2007,17-24,Terengganu,771
2007,17-24,W.P. Kuala Lumpur,36499
2007,25-29,Johor,459
2007,25-29,Kedah,1450
2007,25-29,Kelantan,932
2007,25-29,Malaysia,25466
2007,25-29,Melaka,2225
2007,25-29,Negeri Sembilan,1126
2007,25-29,Pahang,287
2007,25-29,Perak,4
2007,25-29,Pulau Pinang,0
2007,25-29,Sabah,1686
2007,25-29,Sarawak,15
2007,25-29,Selangor,1988
2007,25-29,Terengganu,72
2007,25-29,W.P. Kuala Lumpur,15222
2007,30-34,Johor,394
2007,30-34,Kedah,864
2007,30-34,Kelantan,595
2007,30-34,Malaysia,17340
2007,30-34,Melaka,1599
