year,month,age_group,state,donations
2006,1,17-24,Johor,183
2006,1,17-24,Kedah,19
2006,1,17-24,Kelantan,7
2006,1,17-24,Malaysia,6832
2006,1,17-24,Melaka,18
2006,1,17-24,Negeri Sembilan,0
2006,1,17-24,Pahang,143
2006,1,17-24,Perak,0
2006,1,17-24,Pulau Pinang,0
2006,1,17-24,Sabah,1
2006,1,17-24,Sarawak,2
2006,1,17-24,Selangor,42
2006,1,17-24,Terengganu,680
2006,1,17-24,W.P. Kuala Lumpur,5737
2006,1,25-29,Johor,68
2006,1,25-29,Kedah,3
2006,1,25-29,Kelantan,5
2006,1,25-29,Malaysia,1266
2006,1,25-29,Melaka,5
2006,1,25-29,Negeri Sembilan,0
2006,1,25-29,Pahang,26
2006,1,25-29,Perak,1
2006,1,25-29,Pulau Pinang,0
2006,1,25-29,Sabah,0
2006,1,25-29,Sarawak,1
2006,1,25-29,Selangor,7
2006,1,25-29,Terengganu,66
2006,1,25-29,W.P. Kuala Lumpur,1084
2006,1,30-34,Johor,55
2006,1,30-34,Kedah,3
2006,1,30-34,Kelantan,3
2006,1,30-34,Malaysia,686
2006,1,30-34,Melaka,4
2006,1,30-34,Negeri Sembilan,0
2006,1,30-34,Pahang,13
2006,1,30-34,Perak,0
2006,1,30-34,Pulau Pinang,0
2006,1,30-34,Sabah,0
2006,1,30-34,Sarawak,0
2006,1,30-34,Selangor,4
2006,1,30-34,Terengganu,66
2006,1,30-34,W.P. Kuala Lumpur,538
2006,1,35-39,Johor,50
2006,1,35-39,Kedah,3
2006,1,35-39,Kelantan,2
2006,1,35-39,Malaysia,535
2006,1,35-39,Melaka,1
2006,1,35-39,Negeri Sembilan,0
2006,1,35-39,Pahang,13
2006,1,35-39,Perak,0
2006,1,35-39,Pulau Pinang,0
2006,1,35-39,Sabah,0
2006,1,35-39,Sarawak,1
2006,1,35-39,Selangor,4
2006,1,35-39,Terengganu,57
2006,1,35-39,W.P. Kuala Lumpur,404
2006,1,40-44,Johor,40
2006,1,40-44,Kedah,1
2006,1,40-44,Kelantan,1
2006,1,40-44,Malaysia,485
2006,1,40-44,Melaka,2
2006,1,40-44,Negeri Sembilan,0
2006,1,40-44,Pahang,22
2006,1,40-44,Perak,0
2006,1,40-44,Pulau Pinang,0
2006,1,40-44,Sabah,0
2006,1,40-44,Sarawak,0
2006,1,40-44,Selangor,0
2006,1,40-44,Terengganu,84
2006,1,40-44,W.P. Kuala Lumpur,335
2006,1,45-49,Johor,19
2006,1,45-49,Kedah,3
2006,1,45-49,Kelantan,0
2006,1,45-49,Malaysia,247
2006,1,45-49,Melaka,1
2006,1,45-49,Negeri Sembilan,0
2006,1,45-49,Pahang,13
2006,1,45-49,Perak,0
2006,1,45-49,Pulau Pinang,0
2006,1,45-49,Sabah,0
2006,1,45-49,Sarawak,0
2006,1,45-49,Selangor,2
2006,1,45-49,Terengganu,57
2006,1,45-49,W.P. Kuala Lumpur,152
2006,1,50-54,Johor,11
2006,1,50-54,Kedah,1
2006,1,50-54,Kelantan,0
2006,1,50-54,Malaysia,127
2006,1,50-54,Melaka,1
2006,1,50-54,Negeri Sembilan,0
2006,1,50-54,Pahang,7
2006,1,50-54,Perak,0
2006,1,50-54,Pulau Pinang,0
2006,1,50-54,Sabah,0
2006,1,50-54,Sarawak,0
2006,1,50-54,Selangor,2
2006,1,50-54,Terengganu,39
2006,1,50-54,W.P. Kuala Lumpur,66
2006,1,55-59,Johor,4
2006,1,55-59,Kedah,0
2006,1,55-59,Kelantan,0
2006,1,55-59,Malaysia,55
2006,1,55-59,Melaka,0
2006,1,55-59,Negeri Sembilan,0
2006,1,55-59,Pahang,6
2006,1,55-59,Perak,0
2006,1,55-59,Pulau Pinang,0
2006,1,55-59,Sabah,0
2006,1,55-59,Sarawak,0
2006,1,55-59,Selangor,0
2006,1,55-59,Terengganu,22
2006,1,55-59,W.P. Kuala Lumpur,23
2006,1,60-64,Johor,2
2006,1,60-64,Kedah,0
2006,1,60-64,Kelantan,0
2006,1,60-64,Malaysia,3
2006,1,60-64,Melaka,0
2006,1,60-64,Negeri Sembilan,0
2006,1,60-64,Pahang,0
2006,1,60-64,Perak,0
2006,1,60-64,Pulau Pinang,0
2006,1,60-64,Sabah,0
2006,1,60-64,Sarawak,0
2006,1,60-64,Selangor,0
2006,1,60-64,Terengganu,0
2006,1,60-64,W.P. Kuala Lumpur,1
2006,2,17-24,Johor,167
2006,2,17-24,Kedah,33
2006,2,17-24,Kelantan,0
2006,2,17-24,Malaysia,7864
2006,2,17-24,Melaka,894
2006,2,17-24,Negeri Sembilan,0
2006,2,17-24,Pahang,146
2006,2,17-24,Perak,0
2006,2,17-24,Pulau Pinang,0
2006,2,17-24,Sabah,0
2006,2,17-24,Sarawak,1
2006,2,17-24,Selangor,15
2006,2,17-24,Terengganu,988
2006,2,17-24,W.P. Kuala Lumpur,5620
2006,2,25-29,Johor,97
2006,2,25-29,Kedah,6
2006,2,25-29,Kelantan,0
2006,2,25-29,Malaysia,2023
2006,2,25-29,Melaka,160
2006,2,25-29,Negeri Sembilan,0
2006,2,25-29,Pahang,42
2006,2,25-29,Perak,0
2006,2,25-29,Pulau Pinang,0
2006,2,25-29,Sabah,0
2006,2,25-29,Sarawak,1
